name,u_switch_portsum,u_switch_portcount
SendAclExpiryNotification,Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF),4
Apache server@w0lxdifctom02(wbg-siteminder-ifcfed),WBG Authentication Platform (Siteminder)WBG Authentication Platform (Siteminder)WBG Authentication Platform (Siteminder),3
Apache server@w0lxdifcpega01(wbg-bpmpega-iportal-dev),WBG Business Process Management Platform (PEGA)WBG Business Process Management Platform (PEGA)WBG Business Process Management Platform (PEGA),3
Apache server@w0lxsifcpega05(wbg-bpmpega-icomply-stg),WBG Business Process Management Platform (PEGA)WBG Business Process Management Platform (PEGA)WBG Business Process Management Platform (PEGA),3
Apache server@w0lxdifctom01(wbg-siteminder-ifcfed),WBG Authentication Platform (Siteminder)WBG Authentication Platform (Siteminder)WBG Authentication Platform (Siteminder),3
Apache server@w0lxpv3tfunds02(wb-tfsr-19c),Trust Fund Shareholder Record Keeping SystemTrust Fund Shareholder Record Keeping SystemTrust Fund Shareholder Record Keeping System,3
Apache server@w0lxdv3tfunds01(wb-tfsr),Trust Fund Shareholder Record Keeping SystemTrust Fund Shareholder Record Keeping SystemTrust Fund Shareholder Record Keeping System,3
Apache server@w0lxsifctom01(wbg-passkey-ifcpky),Passkey Web Access ManagementPasskey Web Access ManagementPasskey Web Access Management,3
Apache server@w0lxpwbjbe02(wbg-siteminder-wbfed),WBG Authentication Platform (Siteminder)WBG Authentication Platform (Siteminder)WBG Authentication Platform (Siteminder),3
Apache server@walxplawjust01(wb-globaldevweb),"Global Forum on Law, Justice and Development WebsiteGlobal Forum on Law, Justice and Development WebsiteGlobal Forum on Law, Justice and Development Website",3
Apache server@w0lxqifcpega07(wbg-bpmpega-iportal-QA4),WBG Business Process Management Platform (PEGA)WBG Business Process Management Platform (PEGA)WBG Business Process Management Platform (PEGA),3
Apache server@walxpempa01(ifc-employable),Employability ToolEmployability ToolEmployability Tool,3
Apache server@w0lxqv3tfunds01(wb-tfsr),Trust Fund Shareholder Record Keeping SystemTrust Fund Shareholder Record Keeping SystemTrust Fund Shareholder Record Keeping System,3
Apache server@w0lxqv3tfunds02(wb-tfsr),Trust Fund Shareholder Record Keeping SystemTrust Fund Shareholder Record Keeping SystemTrust Fund Shareholder Record Keeping System,3
Apache server@walxdlawjust01(wb-globaldevweb),"Global Forum on Law, Justice and Development WebsiteGlobal Forum on Law, Justice and Development WebsiteGlobal Forum on Law, Justice and Development Website",3
Apache server@w0lxqwbjbe01(wbg-siteminder-ifcfed),WBG Authentication Platform (Siteminder)WBG Authentication Platform (Siteminder)WBG Authentication Platform (Siteminder),3
Apache server@walxdifccaoe01(ifc-caointernal),Compliance Advisor Ombudsman (CAO) ApplicationCompliance Advisor Ombudsman (CAO) ApplicationCompliance Advisor Ombudsman (CAO) Application,3
Apache server@w0lxssandbox01(wb-aidflowsplus),AidFlows PlusAidFlows PlusAidFlows Plus,3
Apache server@w0lxqwbjbe02(wbg-siteminder-ifcfed),WBG Authentication Platform (Siteminder)WBG Authentication Platform (Siteminder)WBG Authentication Platform (Siteminder),3
dubaiadmin,Environmental and Social Review Database (ESRD)Environmental and Social Review Database (ESRD)Environmental and Social Review Database (ESRD),3
Apache server@w0lxqifcpega05(wbg-bpmpega-iportal-QA4),WBG Business Process Management Platform (PEGA)WBG Business Process Management Platform (PEGA)WBG Business Process Management Platform (PEGA),3
Apache server@w0lxsifctom02(wbg-siteminder-ifcfed),WBG Authentication Platform (Siteminder)WBG Authentication Platform (Siteminder)WBG Authentication Platform (Siteminder),3
Apache server@w0lxpifctom04(wbg-passkey-ifcpky),Passkey Web Access ManagementPasskey Web Access ManagementPasskey Web Access Management,3
Apache server@w0lxpifctom01(wbg-passkey-ifcpky),Passkey Web Access ManagementPasskey Web Access ManagementPasskey Web Access Management,3
IFC-Trade-ASP-FunctionApp,Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF),3
IFC-Trade-ASP-FrontEnd,Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF),3
Apache server@w0lxpifctom03(ifc-numerixcas-chls),Numerix Cross Asset Suite  - IFCNumerix Cross Asset Suite  - IFCNumerix Cross Asset Suite  - IFC,3
Apache server@w0lxpifctom03(ifc-antimoneylaund),Anti Money LaunderingAnti Money LaunderingAnti Money Laundering,3
Apache server@w0lxpifctom03(wbg-passkey-ifcpky),Passkey Web Access ManagementPasskey Web Access ManagementPasskey Web Access Management,3
Apache server@w0lxpifctom03(wbg-siteminder-ifcfed),WBG Authentication Platform (Siteminder)WBG Authentication Platform (Siteminder)WBG Authentication Platform (Siteminder),3
Apache server@w0lxpifctom02(wbg-siteminder-ifcfed),WBG Authentication Platform (Siteminder)WBG Authentication Platform (Siteminder)WBG Authentication Platform (Siteminder),3
Apache server@w0lxpv3tfunds01(wb-tfsr),Trust Fund Shareholder Record Keeping SystemTrust Fund Shareholder Record Keeping SystemTrust Fund Shareholder Record Keeping System,3
Apache server@w0lxsifcjb01(ifc-intranet-api1oauth),IFC IntranetIFC Intranet,2
Apache server@w0lxqwbjbi02(wb-projfeedbackdashboard),Project Feedback Survey DashboardProject Feedback Survey Dashboard,2
Apache server@w0lxqwbjbi02(wb-bankevents),WBGEventsWBGEvents,2
Apache server@w0lxsifcjb01(ifc-ifcdocs-restservices72),IFCDocsIFCDocs,2
Apache server@w0lxqwbjbi02(wb-icsiddocs),ICSID DocsICSID Docs,2
Apache server@w0lxqwbjbi02(wb-icsiddocs-rm),ICSID DocsICSID Docs,2
Apache server@w0lxsifcjb01(ifc-ifcdocs-rm72),IFCDocsIFCDocs,2
Apache server@w0lxqwbjbi02(wb-standardreports-data),Standard Reports for OperationsStandard Reports for Operations,2
Apache server@w0lxqwbjbi02(wb-standardreports),Standard Reports for OperationsStandard Reports for Operations,2
Apache server@w0lxqwbjbi02(wb-implstatusreportapp),Implementation Status and Results Report - Mobile (ISR)Implementation Status and Results Report - Mobile (ISR),2
Apache server@w0lxqwbjbi02(wb-opsportal2),Operations Portal 2.0Operations Portal 2.0,2
Apache server@w0lxqwbjbi02(wb-opsportal3mobile),Operations Portal 3.0 - MobileOperations Portal 3.0 - Mobile,2
Apache server@w0lxqwbjbi02(wb-opsportal3),Operations PortalOperations Portal,2
Apache server@w0lxqwbjbi02(wb-irisredirection),IRIS Redirection ApplicationIRIS Redirection Application,2
Apache server@w0lxqwbjbi02(wb-mgmtdashboard),Management DashboardManagement Dashboard,2
Apache server@w0lxqwbjbi02(wb-approvals-madmin),Approvals AppApprovals App,2
Apache server@w0lxqwbjbi02(wb-opsdashboard),Operations Dashboard - Implementation Completion and Results Report Review (ICRR)Operations Dashboard - Implementation Completion and Results Report Review (ICRR),2
Apache server@w0lxqwbjbi02(wb-opsdashboard-step),Operations Dashboard - Implementation Completion and Results Report Review (ICRR)Operations Dashboard - Implementation Completion and Results Report Review (ICRR),2
Apache server@w0lxsifcjb01(ifc-ibis),Integrated Budgeting & Information Solutions (IBIS)Integrated Budgeting & Information Solutions (IBIS),2
Apache server@w0lxqwbjbi01(wbg-staffrecordsmgmt-portal),SRM Archive ReadOnlySRM Archive ReadOnly,2
Apache server@w0lxqwbjbi01(wbg-staffrecordsmgmt-webtop),SRM Archive ReadOnlySRM Archive ReadOnly,2
Apache server@w0lxqwbjbi01(wbg-documentmgmtplatform-webtop),WBG Document Management Platform (Documentum)WBG Document Management Platform (Documentum),2
Apache server@w0lxqwbjbi01(wb-wbdocs-dfs),Documentum Archive PlatformDocumentum Archive Platform,2
Apache server@w0lxqwbjbi01(wb-wbdocs-ecmrp),Documentum Archive PlatformDocumentum Archive Platform,2
Apache server@w0lxqwbjbi01(wb-wbdocs-rm),Documentum Archive PlatformDocumentum Archive Platform,2
Apache server@w0lxqwbjbi01(wb-wbdocs-search),Documentum Archive PlatformDocumentum Archive Platform,2
Apache server@w0lxqwbjbi01(wb-wbdocs-services),Documentum Archive PlatformDocumentum Archive Platform,2
Apache server@w0lxqwbjbi01(wb-wbdocs-services2),Documentum Archive PlatformDocumentum Archive Platform,2
Apache server@w0lxqwbjbi01(wbg-azuread-b2bapi),WBG Authentication Platform (Azure AD)WBG Authentication Platform (Azure AD),2
Apache server@w0lxqwbjbi01(wbg-docmetahub),Documents Metadata HubDocuments Metadata Hub,2
Apache server@w0lxqwbjbi01(wbg-documentmgmtplatform-da),WBG Document Management Platform (Documentum)WBG Document Management Platform (Documentum),2
Apache server@w0lxqwbjbi01(wbg-ecmrpservice),Enterprise Content Management Resource Provider Service (ECMRP)Enterprise Content Management Resource Provider Service (ECMRP),2
Apache server@w0lxqwbjbi02(wb-tapdashboard),Text Analytic Processing (TAP)Text Analytic Processing (TAP),2
Apache server@w0lxqwbjbi01(wbg-lars),Leave Attendance Recording System (LARS)Leave Attendance Recording System (LARS),2
Apache server@w0lxqwbjbi01(wbg-myhr),Human Resources (myHR)Human Resources (myHR),2
Apache server@w0lxqwbjbi01(wbg-oracleconnect),Connection Service App (Oracle DB)Connection Service App (Oracle DB),2
Apache server@w0lxqwbjbi01(wbg-prsportal),PRS Archive ReadOnlyPRS Archive ReadOnly,2
Apache server@w0lxqwbjbi01(wbg-prsportal-webtop),PRS Archive ReadOnlyPRS Archive ReadOnly,2
Apache server@w0lxqwbjbi01(wbg-siteminder-cbainternal),WBG Authentication Platform (Siteminder)WBG Authentication Platform (Siteminder),2
Apache server@w0lxqwbjbi01(wbg-siteminder-sso),WBG Authentication Platform (Siteminder)WBG Authentication Platform (Siteminder),2
Apache server@w0lxqwbjbi01(wbg-siteminder-ssoe),WBG Authentication Platform (Siteminder)WBG Authentication Platform (Siteminder),2
Apache server@w0lxsifcjb01(ifc-iportal-api1),iPortaliPortal,2
Apache server@w0lxsifcjb01(ifc-ifcdocs-ecmwebtop72),IFCDocsIFCDocs,2
Apache server@w0lxqwbjbi02(wb-wbdocs-dfs),Documentum Archive PlatformDocumentum Archive Platform,2
Apache server@w0lxqwbjbi02(wb-taskteamdash),Task Team DashboardTask Team Dashboard,2
Apache server@w0lxqwbjbi02(wb-trsibrd),Time Recording System IBRDTime Recording System IBRD,2
Apache server@w0lxqwbjbi02(wbg-siteminder-cbainternal),WBG Authentication Platform (Siteminder)WBG Authentication Platform (Siteminder),2
Apache server@w0lxqwbjbi02(wbg-siteminder-sso),WBG Authentication Platform (Siteminder)WBG Authentication Platform (Siteminder),2
Apache server@w0lxqwbjbi02(wbg-siteminder-ssoe),WBG Authentication Platform (Siteminder)WBG Authentication Platform (Siteminder),2
Apache server@w0lxqwbjbi02(wbg-staffrecordsmgmt-portal),SRM Archive ReadOnlySRM Archive ReadOnly,2
Apache server@w0lxqwbjbi02(wbg-staffrecordsmgmt-webtop),SRM Archive ReadOnlySRM Archive ReadOnly,2
Apache server@w0lxqwbpega01(wbg-bpmpega-opsportal3),WBG Business Process Management Platform (PEGA)WBG Business Process Management Platform (PEGA),2
Apache server@w0lxsifcjb01(ifc-ifcdocs-da72),IFCDocsIFCDocs,2
Apache server@w0lxsifcjb01(ifc-idesk-reachdata),iDesk - ReachiDesk - Reach,2
Apache server@w0lxqwbpega01(wbg-bpmpega-opsportal3-uat),WBG Business Process Management Platform (PEGA)WBG Business Process Management Platform (PEGA),2
Apache server@w0lxqwbpega02(wbg-bpmpega-opsportal3),WBG Business Process Management Platform (PEGA)WBG Business Process Management Platform (PEGA),2
